.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[77.24559160172399,28.560406381657526]}",39.050200940000025,0.22175497617045137,-0.04730026709943537,12609.333333333334,221,145.13681030273438,50,29.395001606364872,,0.8480864482383883,696.980358219007,4868,5
"{""type"":""Point"",""coordinates"":[77.17944857222119,28.434514012205945]}",39.378330860000005,0.5301500682128241,-0.08521953844692773,12299.25,267,81.28934478759766,10,29.383133510268237,,0.7400074909550556,675.0470226651262,148,2
"{""type"":""Point"",""coordinates"":[77.37562458196146,28.603134848893465]}",41.03948858000001,0.050822846079380445,0.0160591550213362,13805.5,203,150.73992919921875,50,29.380609829521916,,0.9157010326165149,742.9393150918186,7585,5
"{""type"":""Point"",""coordinates"":[76.82056827980642,28.911862730656892]}",38.24354821999998,0.1455851767820004,-0.03838420764028514,13456.5,221,3.3253848552703857,40,29.558244938553514,,0.8495212163213028,616.814490782097,145,2
"{""type"":""Point"",""coordinates"":[77.16962177636586,28.504921232571704]}",37.30188371000003,0.5266698702546853,-0.10110040221598239,12761.333333333334,262,96.27915954589844,10,29.297527791117602,,0.7866243703188661,671.2903681211174,8833,2
"{""type"":""Point"",""coordinates"":[76.9116195994213,28.97026408461464]}",37.35828104000001,0.1533680834001604,0.007692307692307693,14296.666666666666,225,1.6355928182601929,40,29.45888059846652,,0.9596280925252278,653.215752363205,1156,2
"{""type"":""Point"",""coordinates"":[77.36721227827455,28.698652432439026]}",38.479391599999985,0.42857142857142855,-0.04417230244318528,13221.5,219,45.296241760253906,10,29.323520271944062,,0.972254237018514,775.8438350427896,3112,2
"{""type"":""Point"",""coordinates"":[77.06665047097134,28.552887022603752]}",44.250718370000016,0.2747635639621702,-0.011770749913117058,13347.333333333334,207,38.27339172363281,40,29.48856291159609,,0.800208678714508,645.6545958351344,1268,2
"{""type"":""Point"",""coordinates"":[76.99278866307631,28.655936718873857]}",38.238421190000054,0.5271978021978022,-0.1047702709062103,12357.583333333334,215,14.841846466064453,40,29.57816699241107,,0.8131034122325186,634.286044428125,3970,2
"{""type"":""Point"",""coordinates"":[77.27094700654138,28.73077781105063]}",40.29948725000003,0.11688311688311688,0.007495619443182556,13468.166666666666,211,704.5928344726562,50,29.39054268637858,,0.9437775457285515,761.6876927688718,986,5
"{""type"":""Point"",""coordinates"":[77.23284895742812,28.695255220082036]}",34.70760653000002,0.6228119706380576,-0.12461996142404132,11678.666666666666,202,68.38141632080078,10,29.41987086145872,,0.9152883168635729,765.6035015303642,34,2
"{""type"":""Point"",""coordinates"":[77.06972288086928,28.93337306329831]}",37.922254339999995,0.35076304270673136,-0.060166532366371206,13327.0,211,9.606231689453125,40,29.454567447424836,,0.9802558352608557,721.8445928022265,2425,2
"{""type"":""Point"",""coordinates"":[77.36259461632041,28.649913855622692]}",38.51698982000005,0.3500309214594929,-0.05095649229727442,12333.0,206,208.35089111328125,50,29.380609829521916,,0.9157010326165149,742.9393150918186,3065,5
"{""type"":""Point"",""coordinates"":[77.02431679534303,28.781948560178613]}",39.94572218000002,0.18961625282167044,-0.032762362879098963,14236.0,213,11.531383514404297,40,29.52325592041018,,0.8770010484505348,653.2231597574428,89,2
"{""type"":""Point"",""coordinates"":[76.91131611582735,28.81410070604165]}",38.01795890000005,0.353960029607698,-0.006781326781326781,12561.666666666666,216,8.55012321472168,60,29.54948449326963,,0.827333554449325,666.2033064160496,468,2
"{""type"":""Point"",""coordinates"":[76.86524865475775,28.524618936389235]}",40.224290810000014,0.20360613511298442,-0.007512216468528918,13938.833333333334,213,3.156003952026367,40,29.777565494299836,,0.6778136236904126,599.0868396908045,410,2
"{""type"":""Point"",""coordinates"":[77.0493703450064,28.92080152626871]}",36.97888082000003,0.14436852545735068,-0.013365449578474282,14087.416666666666,213,6.365513324737549,40,29.465502801133596,,0.9228106294692979,708.0674383465666,362,2
"{""type"":""Point"",""coordinates"":[76.90831130857664,28.720041500841944]}",40.687432520000016,0.30481958112541,0.00669554942890902,13597.166666666666,217,3.047301769256592,40,29.60546245085891,,0.7732941245550061,647.2837000861764,797,2
"{""type"":""Point"",""coordinates"":[77.31900908253495,28.88753219442976]}",34.76400386,0.3103064066852368,-0.04291667992237457,12679.75,221,2.1262142658233643,40,29.291456469860748,,1.0561950488680893,836.4301277743652,7018,2
"{""type"":""Point"",""coordinates"":[76.84767177273822,28.990722317684835]}",38.38710506000001,0.18971797273389532,0.0016136743963662444,14021.5,223,1.798230528831482,40,29.493864250881813,,0.9195662310315098,599.0844122972339,3413,2
"{""type"":""Point"",""coordinates"":[77.12709094777752,28.521363923912002]}",38.252093270000046,0.4573934837092732,-0.041159099298634184,12743.916666666666,263,15.28844928741455,20,29.417867656330486,,0.748679270676576,654.4748678281903,212,2
"{""type"":""Point"",""coordinates"":[77.03678288517557,28.966098197464547]}",38.558006060000025,0.12495956873315364,0.011873492772990492,13815.166666666666,216,14.924285888671875,40,29.41537348708829,,0.98802609376292,714.602982070297,6401,2
"{""type"":""Point"",""coordinates"":[77.25119649374093,28.80651309771466]}",37.47962074999998,0.22829429855689615,-0.018997315279561108,14219.416666666666,207,7.2258687019348145,40,29.34735394152966,,1.0123869247814903,762.8977924920619,1465,2
"{""type"":""Point"",""coordinates"":[77.25092111069802,28.534209871892664]}",38.53407992000001,0.341541755888651,-0.0425531914893617,12976.5,238,168.83920288085938,50,29.37837679237674,,0.8260942800860396,655.8270631227642,8036,6
"{""type"":""Point"",""coordinates"":[76.83354165069039,28.670403755845342]}",38.380269020000014,0.2773875539125077,-0.07017766497461929,12710.333333333334,208,6.960730075836182,40,29.61348510853975,,0.7566680739049884,613.7436629068106,1105,2
"{""type"":""Point"",""coordinates"":[77.01613553915834,28.528252573365403]}",40.78142807000006,0.3605247465712582,-0.05295200986286358,13175.083333333334,212,34.11812210083008,40,29.627155194963734,,0.7123027819450746,618.9964118003845,226,2
"{""type"":""Point"",""coordinates"":[76.81412234305452,28.426162165228845]}",47.82084026000001,0.27323020182358365,0.01188292527314778,15235.5,218,4.059182167053223,40,29.718521023145968,,0.6274508779078307,573.0550058450506,1490,2
"{""type"":""Point"",""coordinates"":[77.27855369827955,28.417912829850533]}",39.73380494000003,0.44102701257020593,-0.026549202924607454,13115.833333333334,219,52.24232482910156,20,29.447683218372617,,0.7843111083649769,639.8846745024756,1,2
"{""type"":""Point"",""coordinates"":[77.08292051908491,28.92228874373985]}",38.82290261000003,0.3335978835978836,-0.04023306996849122,13005.75,214,19.02606964111328,50,29.454567447424836,,0.9802558352608557,721.8445928022265,738,2
